#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,driver
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-17T18:00:00Z,9.858,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-18T19:00:00Z,43.68,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-19T13:00:00Z,27.85,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-22T15:00:00Z,58.06,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-25T10:00:00Z,38.08,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-27T11:00:00Z,17.91,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-28T07:00:00Z,27.21,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-29T11:00:00Z,29.82,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-29T16:00:00Z,36.7,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-08-01T17:00:00Z,51.54,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-08-05T13:00:00Z,39.96,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-08-06T12:00:00Z,38.8,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-08-09T12:00:00Z,26.61,consumed,charge,Driver 1
